OTUId	sample_S2-D_Psoil-01	sample_S2-D_Psoil-02	sample_S2-D_Psoil-05	sample_S2-D_Psoil-06	sample_S2-D_Psoil-07	sample_S2-P_PO4-01	sample_S2-P_PO4-02	sample_S2-D_Pmax-01	sample_S2-D_Pmax-03	sample_S2-D_Pmax-06	sample_S2-D_Pmax-07	sample_S2-D_Pmax-09	sample_S2-P_PO4-03	sample_S2-P_PO4-04	sample_S2-D_Ind-02	sample_S2-D_Ind-06	sample_S2-D_Ind-08	sample_S2-D_PO4-01	sample_S2-D_PO4-02	sample_S2-D_PO4-05	sample_S2-D_PO4-06	sample_S2-D_PO4-08	sample_S2-D_PO4-09	sample_S2-D_PO4-10	sample_S2-P_PO4-07	sample_S2-P_Psoil-05	sample_S2-P_PO4-09	sample_S2-P_Ind-05	sample_S2-P_Ind-06	sample_S2-P_Ind-09	sample_S2-P_Ind-10	sample_S2-P_PO4-10	sample_S2-P_Pmax-01	sample_S2-P_Pmax-02	sample_S2-P_Pmax-03	sample_S2-P_Pmax-08	sample_S2-P_Pmax-09	sample_S2-P_Pmax-10	sample_S2-P_Ind-01	sample_S2-P_Ind-04	sample_S2-P_Psoil-06	sample_S2-P_Psoil-07	sample_S2-P_Psoil-08	sample_S2-P_Psoil-09	sample_S2-P_Psoil-10	sample_S2-P_Pmax-04	sample_S2-P_Pmax-05	sample_S2-P_Pmax-06	sample_S2-P_Pmax-07	sample_S2-P_Ind-02	sample_S2-P_Ind-03	sample_S2-P_Ind-07	sample_S2-P_Ind-08	sample_S2-P_Psoil-01	sample_S2-P_Psoil-02	sample_S2-P_Psoil-03	sample_S2-P_Psoil-04	sample_S2-D_Pmax-10	sample_S2-D_Ind-01	sample_S2-D_Ind-03	sample_S2-D_Ind-04	sample_S2-D_Ind-05	sample_S2-D_Ind-07	sample_S2-D_Ind-09	sample_S2-D_Ind-10	sample_S2-P_PO4-05	sample_S2-P_PO4-06	sample_S2-D_PO4-03	sample_S2-D_PO4-04	sample_S2-D_PO4-07	sample_S2-P_PO4-08	sample_S2-D_Psoil-03	sample_S2-D_Psoil-04	sample_S2-D_Psoil-08	sample_S2-D_Psoil-09	sample_S2-D_Psoil-10	sample_S2-D_Pmax-02	sample_S2-D_Pmax-04	sample_S2-D_Pmax-05	sample_S2-D_Pmax-08
OTU_356;size=1769;	19	18	0	346	392	4	12	0	2	3	1	1	11	3	6	2	19	3	10	1	19	15	15	5	2	139	3	4	1	4	4	6	8	38	6	18	34	30	5	4	0	11	4	8	221	0	0	3	31	3	1	1	1	0	126	2	5	3	11	7	8	10	9	20	10	4	10	11	4	17	2	31	0	7	4	16	2	3	6	2
OTU_50;size=8934;	688	104	267	2	8	591	1336	45	24	40	19	32	437	376	23	16	46	127	230	199	334	138	240	63	128	69	227	12	8	16	18	565	311	110	67	59	129	89	19	8	0	137	60	81	35	87	41	121	85	3	13	8	6	38	3	9	60	37	97	41	10	21	22	99	82	273	395	162	135	156	718	123	450	3	0	364	26	32	11	31
OTU_136;size=1552;	255	33	7	16	46	20	35	21	16	24	5	2	3	9	9	13	28	74	33	18	41	28	33	62	4	12	2	2	0	7	9	24	0	11	20	1	3	9	12	5	0	0	1	0	15	7	11	5	4	6	2	7	3	10	10	0	4	16	50	23	8	7	17	42	44	5	21	33	17	19	24	54	1	0	1	592	38	4	20	8
OTU_911;size=193;	7	4	3	7	9	11	0	0	0	0	0	0	0	4	2	4	4	9	4	0	0	0	0	0	0	3	1	8	14	27	9	21	0	3	0	5	0	13	25	11	0	1	0	0	2	0	0	0	10	1	11	16	13	2	1	0	0	0	5	1	1	1	3	9	19	4	5	3	0	0	2	0	1	1	2	2	2	0	2	0
OTU_331;size=689;	63	2	14	0	0	25	41	3	14	3	5	3	35	23	1	3	8	15	4	5	11	7	17	17	15	1	17	3	4	2	10	28	67	16	101	9	48	42	1	0	0	5	5	1	4	0	0	27	42	1	1	0	1	23	11	67	17	2	12	0	0	1	0	16	4	13	18	3	15	10	41	1	33	0	0	8	4	1	0	8
OTU_49;size=3732;	80	27	14	1	7	64	107	52	20	24	24	19	26	12	50	90	112	0	17	36	59	15	38	0	14	12	9	134	167	329	246	29	14	67	0	34	60	72	325	192	0	19	21	56	5	20	17	30	59	91	219	110	184	8	6	15	10	42	207	66	63	47	73	171	141	10	44	30	47	21	49	56	35	4	12	123	20	4	16	34
OTU_11245;size=3;	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU_114;size=2833;	49	440	27	3	11	18	11	164	61	90	57	44	3	3	21	31	27	197	84	68	200	43	117	189	10	10	3	1	0	1	6	29	8	1	0	0	0	6	0	0	0	31	11	12	5	0	0	0	0	0	1	0	0	13	8	20	5	118	34	29	14	19	17	60	62	17	21	59	82	94	16	674	8	9	19	30	72	289	18	101
OTU_11990;size=7;	58	0	0	0	0	0	0	5	0	0	2	7	0	2	0	4	4	10	1	4	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	8	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	8	5	19	0	0	0	0
OTU_26;size=20989;	534	231	346	1574	1911	282	498	158	79	125	45	73	212	156	130	187	250	11	156	279	391	246	295	15	76	596	158	498	536	1039	884	282	328	218	218	186	228	298	1395	656	0	192	111	195	1083	94	65	121	207	361	732	447	655	46	577	87	33	120	458	191	85	101	143	409	276	154	274	163	307	326	391	336	383	128	228	454	95	58	220	79
OTU_44;size=3643;	276	0	0	0	3	166	456	19	44	57	6	4	203	131	6	15	32	45	14	23	33	13	26	52	40	43	48	18	27	32	35	156	182	74	65	29	42	82	38	27	0	126	19	14	0	31	49	113	54	13	27	13	16	1	1	3	19	13	68	11	12	11	24	54	32	87	125	20	12	19	178	0	1	0	0	740	74	29	13	6
OTU_65;size=3550;	162	110	67	0	1	54	89	87	63	55	25	32	24	29	14	23	48	505	139	236	379	137	180	350	16	8	12	1	4	7	6	35	19	30	7	26	22	35	6	1	0	10	2	7	7	8	22	21	26	0	0	1	1	0	0	22	6	57	74	25	14	18	24	60	50	30	35	191	178	176	53	137	156	0	0	15	50	16	16	41
OTU_747;size=242;	57	4	13	0	0	0	0	0	5	5	0	0	4	0	2	4	5	19	2	6	6	2	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	9	6	1	1	6	11	2	0	0	4	11	9	1	13	31	1	0	111	2	5	4	2
OTU_143;size=2608;	11	8	1	14	31	85	142	93	6	8	38	45	77	44	50	49	60	89	35	27	46	32	68	69	29	25	42	32	32	59	85	93	55	130	47	52	96	112	105	66	0	47	19	19	21	8	17	43	138	29	56	46	61	12	10	20	22	60	89	46	33	27	43	101	71	64	78	24	62	29	100	23	0	9	30	21	2	1	11	39
OTU_10223;size=7;	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_2827;size=96;	55	0	0	1	1	9	16	0	1	0	0	0	9	7	0	1	2	0	0	3	0	0	1	2	0	4	7	0	0	0	0	4	0	0	0	0	0	3	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	3	4	1	0	0	3	1	5	3	4	4	0	10	1	9	0	0	0	2	1	0	0
OTU_305;size=1278;	4	0	3	0	0	77	236	7	22	25	0	1	82	108	0	4	1	1	7	9	11	10	8	1	23	10	42	5	4	14	13	89	136	115	78	67	90	141	19	13	0	10	2	4	3	38	44	55	81	7	5	8	7	15	1	17	2	17	1	4	0	3	2	1	2	49	78	7	9	21	134	6	0	0	0	4	13	6	3	1
OTU_1146;size=131;	28	0	0	0	0	0	0	0	20	15	3	0	1	0	5	3	6	3	2	10	5	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	3	1	5	3	22	11	0	0	0	0	0	0	1	0	3	4	15	20	5	7	0
OTU_603;size=388;	28	9	0	0	0	16	11	2	5	0	0	0	12	3	0	0	0	35	23	56	55	0	7	7	9	0	2	0	2	5	4	0	36	5	0	7	0	2	2	6	0	4	0	3	0	0	0	5	0	0	10	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	12	20	10	27	0	0	25	57	41	24	0	4	4	3
OTU_565;size=463;	1	0	0	0	0	0	2	5	0	3	1	1	0	0	49	52	60	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	121	45	31	29	41	135	84	1	0	0	3	0	5	0	0	3	2	0	0	0	0	7
OTU_1090;size=208;	53	2	57	0	0	7	10	0	0	0	0	0	2	9	0	0	0	4	0	0	4	0	17	0	0	0	4	0	1	0	0	7	2	8	0	5	7	2	5	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	13	2	6	6	4	4	2	0	0	0	84	0	3	0	3
OTU_804;size=576;	17	26	4	93	126	0	0	20	9	3	22	7	0	0	1	4	1	20	11	28	24	10	22	17	3	28	0	0	0	0	0	3	0	0	0	0	1	2	0	1	0	0	10	0	65	0	0	0	0	0	0	0	2	0	41	7	0	25	10	2	0	2	6	3	0	2	5	12	10	25	0	31	6	105	131	3	10	1	19	13
OTU_4718;size=35;	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_269;size=1045;	47	11	17	3	1	20	2	83	6	3	12	25	3	6	1	13	2	156	30	58	56	62	88	118	0	3	3	3	4	4	13	16	1	14	13	15	23	43	5	3	0	7	0	0	0	7	0	5	30	4	7	5	4	1	0	0	0	47	11	13	2	10	2	7	4	3	7	37	43	61	4	19	38	2	3	103	3	7	0	30
OTU_2067;size=66;	19	0	0	0	0	6	2	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	21	1	0	0	0	0	0	0	4	0	0	0	5	0	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	2	0	0	0	6	0	1	0	0	0	0	23	0	0	0	0
OTU_2655;size=151;	34	0	5	0	0	3	24	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	9	11	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	5	6	0	0	0	24	3	68	0	0	0	0	0	0	0
OTU_13;size=28665;	300	154	123	16	21	97	743	646	1694	1563	144	238	268	260	12	37	177	0	27	23	35	12	47	0	28	89	57	43	48	67	69	114	5260	2557	3055	1423	2331	2838	227	59	0	269	152	120	20	1333	1711	1901	2367	28	48	36	76	49	36	206	136	429	375	39	22	14	114	292	203	77	99	42	16	34	181	205	460	1	0	153	1955	640	549	326
OTU_24;size=12045;	708	88	495	4	0	246	502	103	58	94	21	35	166	121	81	72	144	300	65	152	254	131	143	233	48	41	97	63	88	141	148	304	504	490	370	359	489	725	241	113	0	97	64	71	37	105	247	230	461	51	108	64	117	138	15	286	84	62	213	66	51	52	65	205	122	155	201	85	120	232	296	178	564	2	11	556	126	47	26	31
OTU_47;size=3714;	12	0	5	0	0	18	18	395	37	51	136	150	9	7	109	127	195	91	42	56	133	37	44	70	7	0	7	28	51	59	81	19	3	30	13	39	40	65	116	44	0	0	0	0	2	0	0	24	47	32	44	43	51	8	0	4	1	304	399	107	67	81	111	302	251	7	9	25	43	60	7	19	6	11	1	0	54	22	16	169
OTU_842;size=207;	37	1	0	1	3	6	15	0	0	3	0	0	0	2	3	3	0	12	3	7	7	6	1	7	3	2	1	2	3	7	12	8	0	2	0	0	8	0	6	3	0	2	3	3	3	0	0	0	0	5	7	7	1	0	3	0	0	0	3	0	0	3	0	7	4	1	8	5	4	2	8	4	3	0	0	59	6	2	3	0
OTU_424;size=825;	381	8	51	0	1	16	50	1	14	12	3	1	18	8	3	8	5	35	3	9	21	5	30	29	6	15	8	0	2	1	0	34	54	23	80	9	17	21	5	2	0	5	3	11	5	26	22	41	37	0	0	1	2	26	0	30	13	1	29	3	2	4	13	37	9	9	17	7	9	17	26	17	83	0	0	4	10	10	3	4
OTU_365;size=1000;	31	13	36	7	9	13	72	5	12	2	0	3	20	17	5	10	22	6	1	24	26	2	3	9	8	3	7	9	20	28	14	27	23	22	28	8	32	17	24	16	0	21	7	15	3	13	11	18	17	9	25	13	24	2	5	4	5	6	28	14	11	12	8	18	20	15	16	7	6	14	27	38	52	1	0	94	1	2	8	3
OTU_464;size=743;	29	9	0	0	0	22	52	4	5	9	2	0	31	15	2	5	19	2	10	32	20	6	18	0	11	3	7	22	15	58	35	39	2	13	11	10	16	12	80	23	0	21	5	1	3	9	20	18	12	14	28	17	25	38	2	13	13	2	23	7	3	1	3	22	9	20	18	4	10	39	40	11	24	13	16	21	3	7	0	0
OTU_37;size=10385;	288	198	200	6	9	248	627	58	208	278	20	14	269	220	39	50	69	0	54	100	125	83	81	2	73	65	107	21	46	74	80	268	600	760	283	539	792	1204	91	46	1	143	212	257	10	164	247	249	736	20	48	27	57	35	23	99	80	52	140	38	20	30	31	121	78	127	189	64	76	109	312	303	424	5	0	88	214	79	50	39
OTU_270;size=813;	164	6	14	3	4	1	4	113	15	28	19	54	0	0	31	31	49	7	17	29	30	29	22	1	0	3	0	8	7	17	14	0	0	2	0	3	4	3	15	9	0	8	1	0	2	0	0	0	4	11	13	9	8	0	0	0	1	88	113	43	33	21	32	82	61	1	1	20	15	20	0	14	13	86	112	143	19	4	7	32
OTU_74;size=3488;	470	29	177	0	0	37	49	16	48	36	3	4	27	16	15	27	30	0	44	143	211	132	141	4	8	3	8	0	1	3	4	19	6	62	76	29	58	91	1	3	0	0	2	2	0	14	15	16	72	0	0	2	3	1	1	30	21	7	41	20	12	10	14	35	51	10	36	60	119	143	37	20	498	9	24	366	60	22	7	10
OTU_2300;size=111;	18	3	7	0	7	8	10	0	0	0	0	0	4	12	0	2	3	7	1	3	0	0	17	0	3	3	1	2	5	2	7	11	0	1	1	0	1	4	1	0	0	5	3	3	3	0	0	0	6	0	0	2	1	3	7	0	4	0	4	1	0	0	0	2	0	3	7	2	3	0	0	3	1	1	0	0	0	1	0	0
OTU_495;size=387;	49	7	41	0	1	12	22	8	8	11	1	0	16	7	0	0	0	1	2	8	9	2	12	0	4	3	6	1	2	0	4	10	50	24	24	8	9	13	1	0	0	6	0	1	0	10	19	52	9	0	1	0	0	0	1	24	4	0	3	1	0	0	0	2	0	1	3	7	2	9	6	5	61	0	0	1	8	3	4	5
OTU_171;size=2204;	128	15	33	22	25	53	138	13	15	17	4	5	35	51	14	18	39	35	8	16	31	18	30	55	33	10	33	23	24	35	56	64	285	86	45	29	67	90	66	31	0	51	17	25	40	43	80	91	52	12	28	16	26	81	20	77	24	21	59	14	20	13	23	63	36	47	52	17	18	20	126	19	207	0	6	25	27	10	7	9
OTU_355;size=545;	52	9	44	0	0	5	14	16	0	1	6	2	4	0	5	6	3	0	0	9	26	8	22	0	7	4	0	2	1	13	15	20	18	12	8	8	15	12	17	4	0	0	0	2	0	15	1	0	29	0	5	0	8	0	0	22	7	16	18	11	4	2	5	31	12	7	11	10	11	30	19	0	56	0	0	77	11	0	2	1
OTU_810;size=595;	34	6	3	61	85	22	30	12	3	1	1	0	17	31	4	12	4	7	6	9	17	4	5	2	11	20	10	1	3	9	3	13	0	10	0	1	14	7	11	5	0	4	0	5	55	0	1	0	15	3	8	3	3	18	35	3	9	1	13	8	0	3	6	9	5	22	32	8	11	15	26	23	11	36	82	52	2	2	6	5
OTU_477;size=868;	105	11	24	17	25	15	86	0	0	0	0	2	25	36	12	4	7	16	6	3	6	14	0	10	21	25	18	2	7	13	13	41	0	1	8	3	8	2	18	11	0	34	7	18	25	28	6	9	15	4	11	7	18	33	7	39	10	1	7	1	2	5	2	10	14	34	44	3	2	4	75	25	44	5	7	168	1	1	0	0
OTU_196;size=1189;	630	3	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	5	0	23	0	0	0	0	0	0	0	0	0	0	1	41	62	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	986	0	0	0	0	0	0	0
OTU_92;size=10858;	502	165	91	15	18	273	402	220	150	142	68	93	177	99	78	79	119	805	179	264	396	209	343	577	76	42	77	38	81	121	128	209	260	219	143	133	208	304	172	80	1	111	187	156	4	42	77	131	218	39	61	56	65	28	9	29	13	125	266	115	61	49	69	236	182	116	210	156	259	237	271	288	114	423	747	1131	120	81	179	98
OTU_412;size=674;	15	5	14	6	12	10	48	5	0	0	1	0	22	12	6	12	11	64	9	15	3	3	26	23	7	1	17	8	17	14	8	38	0	2	10	10	2	4	22	18	0	5	4	12	13	0	0	0	4	8	13	4	12	32	1	15	21	4	21	7	5	1	4	28	11	14	20	20	27	1	70	26	5	29	49	38	0	2	6	0
OTU_479;size=1268;	39	13	24	0	0	13	2	31	93	133	14	11	1	0	2	7	15	0	2	0	0	0	13	0	0	7	0	1	0	1	3	0	229	155	105	70	113	158	10	0	0	19	20	18	2	62	95	120	120	0	0	0	1	2	4	33	21	20	35	4	3	1	10	27	14	1	7	0	7	0	0	37	44	0	3	58	140	59	37	25
OTU_4265;size=36;	4	0	0	0	0	0	0	4	2	1	1	2	0	0	1	6	1	0	2	8	3	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	0	0	0	5	1	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0
OTU_5766;size=12;	4	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	2
OTU_261;size=1566;	22	3	0	0	0	4	6	16	0	0	4	4	10	2	1	0	0	9	4	5	52	16	0	0	4	5	4	53	43	103	95	3	6	68	0	34	37	47	151	83	0	0	1	0	1	0	14	21	63	28	78	42	89	5	0	12	3	6	7	1	0	0	0	0	0	6	7	3	20	0	10	7	5	371	577	7	0	0	0	10
OTU_3730;size=72;	25	0	9	0	0	4	2	0	2	0	0	0	2	0	0	0	3	15	7	2	7	0	1	12	0	0	5	0	0	1	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	3	0	3	3	1	1	0	4	4	0	1
OTU_3378;size=81;	15	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	4	3	6	15	5	1	10	0	4	6	3	8	7	0	0	0	0	0	0	0	0	14	6	6	11	4	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	13	0	0	0	3	0	0	0
OTU_3818;size=32;	8	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	4	6	7	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1429;size=103;	13	1	3	7	11	0	0	0	0	0	1	1	0	0	0	1	2	9	3	0	5	16	0	15	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	14	2	0	1	0	0	0	0	1	3	0	0	1	0	1	0	8	1	12	40	0	0	2	0	0
OTU_4078;size=29;	3	0	0	0	0	1	0	4	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	1	0	2	0	2	0	8	3	6	2	0	0	0	0	0	0	0	0	0	5	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0
OTU_34;size=5092;	217	62	113	4	1	187	610	25	64	68	6	10	219	194	1	15	19	27	70	105	190	88	79	34	34	21	52	17	25	39	37	194	290	220	194	125	303	267	60	31	0	51	30	31	1	114	75	72	222	20	33	23	38	2	6	21	30	17	20	7	2	7	13	23	12	87	144	72	74	116	214	84	282	0	0	0	81	19	12	13
OTU_1634;size=154;	12	3	0	1	0	0	0	9	3	0	0	1	0	0	3	1	12	3	0	1	10	0	0	3	0	0	2	3	8	2	8	0	0	2	0	0	2	2	16	10	0	2	0	0	0	0	0	0	3	7	14	6	9	0	0	0	0	0	14	4	5	3	3	12	6	0	0	2	2	5	0	0	0	1	5	3	0	0	0	7
OTU_322;size=588;	143	0	1	0	1	0	4	11	18	16	1	5	1	2	15	26	13	20	19	10	40	6	18	1	0	1	0	0	0	2	0	2	15	2	0	3	8	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	8	0	4	44	8	10	7	9	19	20	1	3	14	7	11	0	6	6	0	0	259	15	4	6	1
OTU_243;size=1636;	58	15	25	70	106	82	142	0	5	8	2	9	60	56	3	7	13	81	16	29	44	7	21	35	16	27	46	46	42	102	67	76	30	25	37	17	17	25	133	47	0	22	20	13	35	13	21	15	21	33	41	46	51	5	30	21	5	8	16	11	3	1	4	16	6	44	64	12	26	23	90	19	38	0	0	46	10	7	44	2
OTU_1472;size=231;	32	0	8	1	0	15	15	0	0	0	5	0	9	5	0	0	0	5	1	1	10	8	0	0	5	1	1	0	0	0	0	6	2	11	0	1	3	5	0	0	0	0	4	12	5	7	0	14	5	0	2	1	0	5	0	0	0	6	2	1	2	0	0	1	0	7	12	0	13	0	15	0	75	22	43	0	0	0	0	0
OTU_141;size=1513;	76	95	20	38	56	51	113	0	2	6	2	0	42	34	9	7	11	80	17	44	27	9	34	11	13	20	27	13	21	52	26	40	10	22	25	13	4	12	60	20	0	14	6	16	63	0	0	11	11	6	16	22	21	34	18	33	5	0	28	8	6	4	11	28	36	40	66	9	19	12	43	143	55	15	20	51	6	1	11	3
OTU_756;size=290;	2	10	4	2	7	0	0	13	0	0	7	8	0	0	24	23	23	11	0	3	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	1	0	4	0	0	6	51	27	11	20	10	43	46	0	0	1	2	5	0	15	4	20	35	11	0	0	3	10
OTU_99;size=3353;	531	36	94	3	5	10	18	102	83	103	34	37	7	8	39	35	117	289	51	62	76	68	41	239	5	4	11	5	5	8	6	43	0	0	3	0	1	26	15	6	0	0	3	3	0	15	0	9	3	3	7	4	4	2	0	5	0	80	260	49	19	39	60	179	174	9	19	77	60	68	11	51	160	11	12	740	90	26	27	62
OTU_11297;size=3;	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9133;size=55;	90	4	46	0	0	29	31	16	2	4	0	7	16	13	9	7	4	0	9	16	15	33	4	0	20	13	17	9	5	16	6	37	6	12	8	16	35	21	15	7	0	18	6	10	13	11	10	16	13	4	7	3	19	43	9	25	19	2	10	7	7	7	1	21	10	26	22	13	9	5	55	2	147	2	0	37	7	0	2	5
OTU_1278;size=123;	18	9	2	8	6	4	15	0	0	0	0	0	3	3	0	0	6	4	0	0	0	6	1	0	0	0	3	0	1	0	0	17	1	4	0	5	5	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	1	0	4	9	0	0	0	17	7	0	0	8	14	1	1	1	0
OTU_730;size=339;	10	4	6	0	0	7	1	15	1	0	5	1	4	1	13	13	16	0	0	0	34	2	4	0	0	0	1	3	6	13	17	2	4	13	0	34	71	58	13	6	0	4	2	1	2	0	0	0	27	5	1	1	2	0	0	0	1	5	32	14	2	3	9	27	10	1	0	0	0	0	8	3	17	0	0	0	11	0	1	2
OTU_4865;size=19;	8	1	0	2	5	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0
OTU_2936;size=54;	3	0	0	1	0	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	4	1	1	0	2	2	0	4	8	0	6	0	1	1	0	2	0	0	3	7	0	11	0	0	0	0	0	11	0	3	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	3	0	0	0
OTU_4393;size=33;	20	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	5	14	0	2	0	0	0	0	0
OTU_533;size=341;	24	5	6	2	4	12	13	3	4	1	3	0	6	9	15	4	3	11	7	0	0	7	0	3	3	1	4	12	4	12	30	29	24	13	19	4	15	12	17	11	0	0	3	0	0	0	0	0	2	5	6	10	16	0	1	0	0	12	32	7	3	8	11	13	12	19	19	5	10	0	6	0	23	3	8	9	1	2	7	3
OTU_2039;size=96;	6	18	0	9	10	3	16	0	0	0	0	0	1	2	0	0	0	3	3	3	0	3	0	11	2	3	0	0	0	4	1	4	0	0	0	0	4	3	0	0	0	0	1	1	9	0	0	13	0	0	0	0	5	0	6	1	4	0	2	0	0	0	0	2	0	1	3	0	0	0	2	28	7	0	0	0	0	0	0	0
OTU_81;size=2466;	15	12	5	11	6	97	331	16	60	37	3	10	137	115	8	12	21	124	21	43	87	40	52	113	32	6	37	11	6	42	24	146	13	94	13	74	112	141	33	18	0	2	4	0	11	0	5	12	117	8	8	9	16	1	4	11	2	25	61	12	4	5	24	41	24	69	78	38	43	61	163	21	3	1	4	16	50	26	18	14
OTU_1542;size=224;	84	10	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	24	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	19	160	0	0	0	0	0	1	0
OTU_307;size=1695;	104	85	33	9	6	35	38	32	33	62	11	12	17	15	20	23	56	78	39	100	101	89	53	33	4	28	6	14	25	42	36	13	0	0	7	32	16	57	72	38	0	58	26	10	1	0	18	0	26	14	27	13	13	2	3	43	0	23	95	33	9	14	26	74	43	11	36	33	96	32	23	89	53	22	19	147	24	24	8	13
